Human Time,AQI
2022-01-01,5.0
2022-01-02,5.0
2022-01-03,1.0
2022-01-04,4.0
2022-01-05,4.0
2022-01-06,5.0
2022-01-07,5.0
2022-01-08,5.0
2022-01-09,2.0
2022-01-10,2.0
2022-01-11,5.0
2022-01-12,5.0
2022-01-13,5.0
2022-01-14,5.0
2022-01-15,2.0
2022-01-16,2.0
2022-01-17,2.0
2022-01-18,5.0
2022-01-19,5.0
2022-01-20,2.0
2022-01-21,2.0
2022-01-22,5.0
2022-01-23,5.0
2022-01-24,5.0
2022-01-25,5.0
2022-01-26,3.0
2022-01-27,5.0
2022-01-28,5.0
2022-01-29,2.0
2022-01-30,4.0
2022-01-31,5.0
2022-02-01,5.0
2022-02-02,5.0
2022-02-03,5.0
2022-02-04,2.0
2022-02-05,1.0
2022-02-06,5.0
2022-02-07,5.0
2022-02-08,4.0
2022-02-09,5.0
2022-02-10,5.0
2022-02-11,5.0
2022-02-12,2.0
2022-02-13,2.0
2022-02-14,4.0
2022-02-15,5.0
2022-02-16,5.0
2022-02-17,2.0
2022-02-18,2.0
2022-02-19,5.0
2022-02-20,2.0
2022-02-21,5.0
2022-02-22,5.0
2022-02-23,2.0
2022-02-24,2.0
2022-02-25,4.0
2022-02-26,2.0
2022-02-27,2.0
2022-02-28,5.0
2022-03-01,5.0
2022-03-02,5.0
2022-03-03,4.0
2022-03-04,4.0
2022-03-05,5.0
2022-03-06,3.0
2022-03-07,5.0
2022-03-08,5.0
2022-03-09,5.0
2022-03-10,5.0
2022-03-11,5.0
2022-03-12,2.0
2022-03-13,2.0
2022-03-14,4.0
2022-03-15,5.0
2022-03-16,5.0
2022-03-17,5.0
2022-03-18,5.0
2022-03-19,5.0
2022-03-20,5.0
2022-03-21,2.0
2022-03-22,2.0
2022-03-23,2.0
2022-03-24,2.0
2022-03-25,2.0
2022-03-26,2.0
2022-03-27,1.0
2022-03-28,2.0
2022-03-29,2.0
2022-03-30,4.0
2022-03-31,2.0
2022-04-01,2.0
2022-04-02,4.0
2022-04-03,4.0
2022-04-04,4.0
2022-04-05,5.0
2022-04-06,2.0
2022-04-07,2.0
2022-04-08,5.0
2022-04-09,4.0
2022-04-10,2.0
2022-04-11,3.0
2022-04-12,3.0
2022-04-13,5.0
2022-04-14,4.0
2022-04-15,2.0
2022-04-16,2.0
2022-04-17,2.0
2022-04-18,2.0
2022-04-19,2.0
2022-04-20,5.0
2022-04-21,5.0
2022-04-22,2.0
2022-04-23,4.0
2022-04-24,4.0
2022-04-25,2.0
2022-04-26,4.0
2022-04-27,4.0
2022-04-28,2.0
2022-04-29,2.0
2022-04-30,3.0
2022-05-01,4.0
2022-05-02,4.0
2022-05-03,2.0
2022-05-04,5.0
2022-05-05,5.0
2022-05-06,4.0
2022-05-07,2.0
2022-05-08,2.0
2022-05-09,3.0
2022-05-10,3.0
2022-05-11,4.0
2022-05-12,4.0
2022-05-13,2.0
2022-05-14,2.0
2022-05-15,2.0
2022-05-16,4.0
2022-05-17,2.0
2022-05-18,4.0
2022-05-19,4.0
2022-05-20,4.0
2022-05-21,5.0
2022-05-22,3.0
2022-05-23,2.0
2022-05-24,3.0
2022-05-25,3.0
2022-05-26,2.0
2022-05-27,2.0
2022-05-28,2.0
2022-05-29,4.0
2022-05-30,4.0
2022-05-31,4.0
2022-06-01,4.0
2022-06-02,5.0
2022-06-03,4.0
2022-06-04,4.0
2022-06-05,4.0
2022-06-06,5.0
2022-06-07,2.0
2022-06-08,3.0
2022-06-09,3.0
2022-06-10,3.0
2022-06-11,2.0
2022-06-12,2.0
2022-06-13,5.0
2022-06-14,5.0
2022-06-15,4.0
2022-06-16,2.0
2022-06-17,3.0
2022-06-18,1.0
2022-06-19,2.0
2022-06-20,2.0
2022-06-21,4.0
2022-06-22,4.0
2022-06-23,2.0
2022-06-24,4.0
2022-06-25,5.0
2022-06-26,3.0
2022-06-27,3.0
2022-06-28,3.0
2022-06-29,5.0
2022-06-30,4.0
2022-07-01,4.0
2022-07-02,3.0
2022-07-03,3.0
2022-07-04,3.0
2022-07-05,4.0
2022-07-06,3.0
2022-07-07,2.0
2022-07-08,4.0
2022-07-09,4.0
2022-07-10,4.0
2022-07-11,4.0
2022-07-12,3.0
2022-07-13,5.0
2022-07-14,4.0
2022-07-15,4.0
2022-07-16,4.0
2022-07-17,3.0
2022-07-18,2.0
2022-07-19,3.0
,
2022-07-21,2.0
2022-07-22,5.0
2022-07-23,5.0
2022-07-24,4.0
2022-07-25,2.0
2022-07-26,4.0
2022-07-27,5.0
2022-07-28,4.0
2022-07-29,3.0
2022-07-30,2.0
2022-07-31,3.0
2022-08-01,4.0
2022-08-02,3.0
2022-08-03,5.0
2022-08-04,4.0
2022-08-05,5.0
2022-08-06,4.0
2022-08-07,3.0
2022-08-08,3.0
2022-08-09,3.0
2022-08-10,4.0
2022-08-11,5.0
2022-08-12,2.0
2022-08-13,2.0
2022-08-14,3.0
2022-08-15,4.0
2022-08-16,4.0
2022-08-17,4.0
2022-08-18,4.0
2022-08-19,4.0
2022-08-20,4.0
2022-08-21,3.0
2022-08-22,2.0
2022-08-23,4.0
2022-08-24,4.0
2022-08-25,5.0
2022-08-26,4.0
2022-08-27,4.0
2022-08-28,4.0
2022-08-29,3.0
2022-08-30,2.0
2022-08-31,2.0
2022-09-01,2.0
2022-09-02,3.0
2022-09-03,3.0
2022-09-04,4.0
2022-09-05,4.0
2022-09-06,2.0
2022-09-07,2.0
2022-09-08,4.0
2022-09-09,4.0
2022-09-10,3.0
2022-09-11,2.0
2022-09-12,4.0
2022-09-13,3.0
2022-09-14,2.0
2022-09-15,2.0
2022-09-16,5.0
2022-09-17,5.0
2022-09-18,3.0
2022-09-19,4.0
2022-09-20,2.0
2022-09-21,4.0
2022-09-22,3.0
2022-09-23,2.0
2022-09-24,2.0
2022-09-25,2.0
2022-09-26,2.0
2022-09-27,2.0
2022-09-28,2.0
2022-09-29,1.0
2022-09-30,2.0
2022-10-01,1.0
2022-10-02,1.0
2022-10-03,1.0
2022-10-04,1.0
2022-10-05,1.0
2022-10-06,5.0
2022-10-07,4.0
2022-10-08,3.0
2022-10-09,2.0
2022-10-10,4.0
2022-10-11,4.0
2022-10-12,4.0
2022-10-13,2.0
2022-10-14,4.0
2022-10-15,5.0
2022-10-16,5.0
2022-10-17,4.0
2022-10-18,2.0
2022-10-19,2.0
2022-10-20,2.0
2022-10-21,5.0
2022-10-22,5.0
2022-10-23,5.0
2022-10-24,2.0
2022-10-25,3.0
2022-10-26,4.0
2022-10-27,2.0
2022-10-28,4.0
2022-10-29,5.0
2022-10-30,5.0
2022-10-31,4.0
2022-11-01,4.0
2022-11-02,5.0
2022-11-03,5.0
2022-11-04,5.0
2022-11-05,2.0
2022-11-06,2.0
2022-11-07,2.0
2022-11-08,2.0
2022-11-09,5.0
2022-11-10,4.0
2022-11-11,4.0
2022-11-12,5.0
2022-11-13,5.0
2022-11-14,2.0
2022-11-15,2.0
2022-11-16,2.0
2022-11-17,2.0
2022-11-18,2.0
2022-11-19,2.0
2022-11-20,2.0
2022-11-21,2.0
2022-11-22,4.0
2022-11-23,5.0
2022-11-24,4.0
2022-11-25,3.0
2022-11-26,2.0
2022-11-27,4.0
2022-11-28,1.0
2022-11-29,5.0
2022-11-30,5.0
2022-12-01,2.0
2022-12-02,5.0
2022-12-03,2.0
2022-12-04,5.0
2022-12-05,5.0
2022-12-06,5.0
2022-12-07,4.0
2022-12-08,2.0
,
2022-12-10,2.0
2022-12-11,2.0
2022-12-12,2.0
2022-12-13,4.0
2022-12-14,3.0
2022-12-15,2.0
2022-12-16,1.0
2022-12-17,2.0
2022-12-18,2.0
2022-12-19,1.0
2022-12-20,2.0
2022-12-21,5.0
2022-12-22,5.0
2022-12-23,2.0
2022-12-24,1.0
2022-12-25,1.0
2022-12-26,3.0
2022-12-27,4.0
2022-12-28,4.0
2022-12-29,4.0
2022-12-30,4.0
2022-12-31,4.0
